draw_no,first_prize,second_prize_1,second_prize_2,second_prize_3,city,draw_date,rolling_mean_first_prize_10,rolling_std_first_prize_10,rolling_entropy_first_prize_10,rolling_runs_first_prize_10,rolling_digit_dominance_first_prize_10,rolling_mean_second_prize_1_10,rolling_std_second_prize_1_10,rolling_entropy_second_prize_1_10,rolling_runs_second_prize_1_10,rolling_digit_dominance_second_prize_1_10,rolling_mean_second_prize_2_10,rolling_std_second_prize_2_10,rolling_entropy_second_prize_2_10,rolling_runs_second_prize_2_10,rolling_digit_dominance_second_prize_2_10,rolling_mean_second_prize_3_10,rolling_std_second_prize_3_10,rolling_entropy_second_prize_3_10,rolling_runs_second_prize_3_10,rolling_digit_dominance_second_prize_3_10,rolling_mean,rolling_std,rolling_entropy,rolling_runs,rolling_digit_dominance,first_prize_last_digit,first_prize_prev_last_digit,first_prize_transition_prob,first_prize_transition_surprise,second_prize_1_last_digit,second_prize_1_prev_last_digit,second_prize_1_transition_prob,second_prize_1_transition_surprise,second_prize_2_last_digit,second_prize_2_prev_last_digit,second_prize_2_transition_prob,second_prize_2_transition_surprise,second_prize_3_last_digit,second_prize_3_prev_last_digit,second_prize_3_transition_prob,second_prize_3_transition_surprise,last_digit,prev_last_digit,transition_prob,transition_surprise,expected_surprise,surprise_residual,surprise_zscore,is_anomaly
90,394635,207865,529894,829039,Karachi,2022-04-15,456485.4,314323.9415391566,1.6957425341696344,10.0,2.0,263891.5,184669.8385451121,1.8866967846580782,10.0,1.0,533417.2,241208.77144074911,1.8343719702816235,10.0,2.0,742445.0,187848.06221636798,1.8866967846580787,10.0,1.0,456485.4,314323.9415391566,1.6957425341696344,10.0,2.0,5,1.0,0.25,1.3862943611198906,5,6.0,0.36363636363636365,1.0116009116784799,4,9.0,0.125,2.0794415416798357,9,6.0,0.15789473684210525,1.845826690498331,5,1.0,0.25,1.3862943611198906,1.7017280914929536,-0.315433730373063,-0.5389606649360744,0
89,4208,511294,549996,983274,Peshawar,2022-01-17,374166.3,314184.9185962694,1.5571130980576455,10.0,2.0,268785.4,191051.84782508065,1.8866967846580782,10.0,1.0,531875.2,241030.70310361337,1.8343719702816235,10.0,2.0,750762.7,197212.4244198795,1.7480673485460896,10.0,1.0,374166.3,314184.9185962694,1.5571130980576455,10.0,2.0,8,5.0,0.06666666666666667,2.70805020110221,4,5.0,0.15384615384615385,1.8718021769015913,6,4.0,0.2,1.6094379124341003,4,9.0,0.1,2.3025850929940455,8,5.0,0.06666666666666667,2.70805020110221,1.8339036754911853,0.8741465256110248,1.341532632114184,0
88,69845,172166,321134,828622,Rawalpindi,2021-10-15,291122.2,265676.44421940506,1.5047882836811908,10.0,2.0,272540.3,188473.52692799532,1.6957425341696344,10.0,2.0,544242.4,224576.73453073646,1.6957425341696346,10.0,2.0,802199.3,124320.99865808857,1.8866967846580787,10.0,1.0,291122.2,265676.44421940506,1.5047882836811908,10.0,2.0,5,8.0,0.5,0.6931471805599453,6,4.0,0.1111111111111111,2.1972245773362196,4,6.0,0.14285714285714285,1.9459101490553135,2,4.0,0.36363636363636365,1.0116009116784799,5,8.0,0.5,0.6931471805599453,1.6952742393791964,-1.002127058819251,-1.3623028683486813,0
87,331809,232705,842723,908062,Lahore,2021-07-15,318309.5,252998.16005666042,1.504788283681191,10.0,2.0,287088.8,177897.3118857555,1.6957425341696348,10.0,2.0,545839.9,226854.85367297937,1.8866967846580782,10.0,1.0,803722.6,125641.18250283675,1.8866967846580782,10.0,1.0,318309.5,252998.16005666042,1.504788283681191,10.0,2.0,9,5.0,0.13333333333333333,2.0149030205422647,5,6.0,0.36363636363636365,1.0116009116784799,3,4.0,0.2,1.6094379124341003,2,2.0,0.09090909090909091,2.3978952727983707,9,5.0,0.13333333333333333,2.0149030205422647,1.6665060321340182,0.3483969884082465,0.4875776724485438,0
86,38012,831,314705,417508,Quetta,2021-04-15,262727.6,246719.30438284628,1.5571130980576458,10.0,2.0,235835.3,179288.7262936828,1.8866967846580782,10.0,1.0,494560.4,213688.0334034225,2.0253262207700677,10.0,1.0,756031.6,170053.29475994027,1.8866967846580782,10.0,1.0,262727.6,246719.30438284628,1.5571130980576458,10.0,2.0,2,9.0,0.125,2.0794415416798357,1,5.0,0.23076923076923078,1.466337068793427,5,3.0,0.2,1.6094379124341003,8,2.0,0.09090909090909091,2.3978952727983707,2,9.0,0.125,2.0794415416798357,1.713506395058592,0.3659351466212437,0.504219551333574,0
85,217739,194668,871860,953604,Hyderabad,2021-01-15,248942.4,244797.82635118856,1.5571130980576458,10.0,2.0,247184.1,171848.95129182487,1.8866967846580782,10.0,1.0,558501.6,222043.66135474847,2.0253262207700677,10.0,1.0,776642.6,181039.26429442505,1.8866967846580782,10.0,1.0,248942.4,244797.82635118856,1.5571130980576458,10.0,2.0,9,2.0,0.125,2.0794415416798357,8,1.0,0.2222222222222222,1.5040773967762742,0,5.0,0.14285714285714285,1.9459101490553135,4,8.0,0.25,1.3862943611198906,9,2.0,0.125,2.0794415416798357,1.7828211131145864,0.2966204285652494,0.40962847014928755,0
84,854741,44848,168263,728072,Lahore,2020-10-15,279947.3,299860.12696627964,1.5571130980576458,10.0,2.0,243674.6,175953.1833163457,1.7480673485460891,10.0,1.0,532516.2,252160.46452200937,1.8866967846580782,10.0,1.0,788568.0,172481.4940520996,1.8343719702816235,10.0,2.0,279947.3,299860.12696627964,1.5571130980576458,10.0,2.0,1,9.0,0.125,2.0794415416798357,8,8.0,0.4,0.916290731874155,3,0.0,0.16666666666666666,1.791759469228055,2,4.0,0.36363636363636365,1.0116009116784799,1,9.0,0.125,2.0794415416798357,1.7828211131145864,0.2966204285652494,0.40962847014928755,0
83,308857,394067,603610,930253,Muzaffarabad,2020-07-15,308420.2,286071.0979722815,1.6957425341696346,10.0,2.0,228402.9,151674.36679094238,1.8866967846580782,10.0,1.0,534825.4,252753.9274033585,1.6957425341696346,10.0,2.0,805082.0,177809.5649077031,1.8343719702816235,10.0,2.0,308420.2,286071.0979722815,1.6957425341696346,10.0,2.0,7,1.0,0.25,1.3862943611198906,7,8.0,0.1,2.3025850929940455,0,3.0,0.2,1.6094379124341003,3,2.0,0.18181818181818182,1.7047480922384253,7,1.0,0.25,1.3862943611198906,1.7828211131145864,-0.3965267519946958,-0.5475976404542304,0
82,253534,48813,266370,662748,Hyderabad,2020-04-15,319594.1,280976.4788730149,1.8866967846580784,10.0,1.0,212915.3,162031.93089432846,1.8866967846580784,10.0,1.0,529671.4,258136.7648343714,1.6957425341696346,10.0,2.0,811466.8,170582.8134092712,1.6957425341696344,10.0,2.0,319594.1,280976.4788730149,1.8866967846580784,10.0,1.0,4,7.0,0.1,2.3025850929940455,3,7.0,0.08333333333333333,2.4849066497880004,0,0.0,0.08333333333333333,2.4849066497880004,8,3.0,0.1,2.3025850929940455,4,7.0,0.1,2.3025850929940455,1.9437649043579968,0.3588201886360487,0.5718987334912942,0
81,958892,515888,558129,943879,Karachi,2020-01-15,343227.2,325109.260849607,1.8866967846580784,10.0,1.0,232314.5,186321.55419849962,1.8343719702816237,10.0,2.0,502668.4,236674.80544371894,1.6957425341696346,10.0,2.0,818506.1,174826.1225621046,1.5571130980576458,10.0,2.0,343227.2,325109.260849607,1.8866967846580784,10.0,1.0,2,4.0,0.15384615384615385,1.8718021769015913,8,3.0,0.2222222222222222,1.5040773967762742,9,0.0,0.16666666666666666,1.791759469228055,9,8.0,0.125,2.0794415416798357,2,4.0,0.15384615384615385,1.8718021769015913,1.8601401019379344,0.011662074963656899,0.020565876017258653,0
